Year,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Electors,Position,Sex,Party,Votes,Candidate,Margin_Percentage
2018,130,TURUVEKERE,85.03,39.54,180566,1,Male,BJP,60710,JAYARAM A S,1.33
2018,131,KUNIGAL,85.86,36.25,188580,1,Male,INC,58697,DR H.D. RANGANATH,3.46
2018,132,TUMKUR CITY,66.26,35.57,256355,1,Male,BJP,60421,G.B. JYOTHI GANESH,3.12
2018,133,TUMKUR RURAL,86.31,48.01,199667,1,Male,JD(S),82740,D C GOWRISHANKAR,3.27
2018,134,KORATAGERE,85.77,47.64,199725,1,Male,INC,81598,DR. G. PARAMESHWARA,4.45
2018,135,GUBBI,86.17,35.76,180373,1,Male,JD(S),55572,S R SRINIVAS (VASU),5.84
2018,136,SIRA,85.78,41.24,210144,1,Male,JD(S),74338,B SATHYANARAYANA,5.75
2018,137,PAVAGADA,83.66,44.79,194720,1,Male,INC,72974,VENKATARAMANAPPA,0.25
2018,138,MADHUGIRI,87.26,53.31,190297,1,Male,JD(S),88521,M.V. VEERABHADRAIAH,11.19
2018,139,GAURIBIDANUR,83.93,40.91,200962,1,Male,INC,69000,N.H.SHIVASHANKARA REDDY,5.44
2018,140,BAGEPALLI,84.47,39.94,194781,1,Male,INC,65710,S.N. SUBBAREDDY(CHINNAKAYALAPALLI),8.52
2018,141,CHIKKABALLAPUR,88.58,47.27,195831,1,Male,INC,82006,DR. K. SUDHAKAR,17.54
2018,142,SIDLAGHATTA,87.1,44.76,195553,1,Male,INC,76240,V. MUNIYAPPA,5.7
2018,143,CHINTAMANI,85.8,48.55,210676,1,Male,JD(S),87753,J K KRISHNA REDDY,3.14
2018,144,SRINIVASPUR,90.34,50.71,204235,1,Male,INC,93571,K R RAMESH KUMAR,5.72
2018,145,MULBAGAL,81.83,45.12,201019,1,Male,IND,74213,H.NAGESH,4.08
2018,146,KOLAR GOLD FIELD,74.54,50.98,187241,1,Female,INC,71151,ROOPAKALA.M,29.25
2018,147,BANGARAPET,82.89,45.18,189238,1,Male,INC,70871,S.N.NARAYANASWAMY K.M,13.75
2018,148,KOLAR,80.46,46.22,222605,1,Male,JD(S),82788,K.SRINIVASA GOWDA,24.71
2018,149,MALUR,89.51,46.9,180278,1,Male,INC,75677,K.Y. NANJEGOWDA,11.1
2018,150,YELAHANKA,65.54,49,374036,1,Male,BJP,120110,S.R.VISHWANATH,17.34
2018,151,K.R.PURA,57.97,53.31,438156,1,Male,INC,135404,B.A.BASAVARAJA,12.89
2018,152,BYATARAYANAPURA,60.45,45.31,419694,1,Male,INC,114964,KRISHNA BYREGOWDA,2.24
2018,153,YESHVANTHAPURA,63.32,40.14,453557,1,Male,INC,115273,S.T SOMASHEKHAR,3.73
